Home,Away,Total,SpreadFav,SpreadPts,HomeImplied,AwayImplied
Cleveland Browns,Tennessee Titans,41.5,Cleveland Browns,-1.5,21.5,20.0
Jacksonville Jaguars,Indianapolis Colts,46.5,Jacksonville Jaguars,-3.0,24.8,21.8
New York Jets,Miami Dolphins,43.5,Miami Dolphins,-1.5,21.0,22.5
Minnesota Vikings,Washington Commanders,47.5,Washington Commanders,-1.5,23.0,24.5
Tampa Bay Buccaneers,New Orleans Saints,45.5,Tampa Bay Buccaneers,-9.5,27.5,18.0
Las Vegas Raiders,Denver Broncos,43.5,Denver Broncos,-3.5,20.0,23.5
Arizona Cardinals,Los Angeles Rams,47.5,Los Angeles Rams,-1.5,23.0,24.5
Buffalo Bills,Cincinnati Bengals,49.5,Buffalo Bills,-5.5,27.5,22.0
Kansas City Chiefs,Houston Texans,45.5,Kansas City Chiefs,-6.5,26.0,19.5
Tampa Bay Buccaneers,Atlanta Falcons,47.5,Tampa Bay Buccaneers,-5.5,26.5,21.0
Houston Texans,Arizona Cardinals,45.5,Houston Texans,-2.5,24.0,21.5
Cincinnati Bengals,Baltimore Ravens,49.5,Baltimore Ravens,-2.5,23.5,26.0
New England Patriots,Buffalo Bills,46.5,Buffalo Bills,-4.5,21.0,25.5
Chicago Bears,Cleveland Browns,42.5,Chicago Bears,-7.0,24.8,17.8
Jacksonville Jaguars,New York Jets,43.5,Jacksonville Jaguars,-4.5,24.0,19.5
Kansas City Chiefs,Los Angeles Chargers,45.5,Kansas City Chiefs,-4.5,25.0,20.5
New York Giants,Washington Commanders,45.5,Washington Commanders,-4.5,20.5,25.0
New Orleans Saints,Carolina Panthers,43.5,Carolina Panthers,-1.5,21.0,22.5
Denver Broncos,Green Bay Packers,44.5,Denver Broncos,-1.5,23.0,21.5
Los Angeles Rams,Detroit Lions,48.5,Detroit Lions,-1.5,23.5,25.0
Seattle Seahawks,Indianapolis Colts,44.5,Seattle Seahawks,-3.5,24.0,20.5
San Francisco 49ers,Tennessee Titans,45.5,San Francisco 49ers,-7.5,26.5,19.0
Pittsburgh Steelers,Miami Dolphins,44.5,Pittsburgh Steelers,-3.0,23.8,20.8
Seattle Seahawks,Los Angeles Rams,44.5,Los Angeles Rams,-1.5,21.5,23.0
Chicago Bears,Green Bay Packers,45.5,Green Bay Packers,-2.5,21.5,24.0
Baltimore Ravens,New England Patriots,46.5,Baltimore Ravens,-8.5,27.5,19.0
Cleveland Browns,Buffalo Bills,43.5,Buffalo Bills,-8.5,17.5,26.0
Carolina Panthers,Tampa Bay Buccaneers,47.5,Tampa Bay Buccaneers,-3.5,22.0,25.5
Tennessee Titans,Kansas City Chiefs,44.5,Kansas City Chiefs,-7.0,18.8,25.8
New York Giants,Minnesota Vikings,42.5,Minnesota Vikings,-2.5,20.0,22.5
New Orleans Saints,New York Jets,41.5,New Orleans Saints,-1.5,21.5,20.0
Arizona Cardinals,Atlanta Falcons,46.5,Arizona Cardinals,-3.5,25.0,21.5
Denver Broncos,Jacksonville Jaguars,45.5,Denver Broncos,-5.5,25.5,20.0
Detroit Lions,Pittsburgh Steelers,45.5,Detroit Lions,-6.0,25.8,19.8
Houston Texans,Las Vegas Raiders,43.5,Houston Texans,-4.5,24.0,19.5
Miami Dolphins,Cincinnati Bengals,48.5,Cincinnati Bengals,-1.5,23.5,25.0
Indianapolis Colts,San Francisco 49ers,46.5,San Francisco 49ers,-3.0,21.8,24.8
Minnesota Vikings,Detroit Lions,46.5,Detroit Lions,-2.5,22.0,24.5
Kansas City Chiefs,Denver Broncos,44.5,Kansas City Chiefs,-4.5,24.5,20.0
Cincinnati Bengals,Arizona Cardinals,47.5,Cincinnati Bengals,-3.5,25.5,22.0
Green Bay Packers,Baltimore Ravens,46.5,Baltimore Ravens,-1.5,22.5,24.0
Carolina Panthers,Seattle Seahawks,43.5,Seattle Seahawks,-1.5,21.0,22.5
Cleveland Browns,Pittsburgh Steelers,40.5,Pittsburgh Steelers,-2.5,19.0,21.5
Los Angeles Chargers,Houston Texans,43.5,Los Angeles Chargers,-3.5,23.5,20.0
Indianapolis Colts,Jacksonville Jaguars,45.5,Indianapolis Colts,-1.5,23.5,22.0
Miami Dolphins,Tampa Bay Buccaneers,47.5,Tampa Bay Buccaneers,-1.5,23.0,24.5
New York Jets,New England Patriots,41.5,New England Patriots,-1.5,20.0,21.5
Tennessee Titans,New Orleans Saints,42.5,Tennessee Titans,-3.5,23.0,19.5
Las Vegas Raiders,New York Giants,42.5,Las Vegas Raiders,-2.5,22.5,20.0
San Francisco 49ers,Chicago Bears,46.5,San Francisco 49ers,-3.5,25.0,21.5
Atlanta Falcons,Los Angeles Rams,46.5,Los Angeles Rams,-3.0,21.8,24.8
Los Angeles Rams,Arizona Cardinals,45.5,Los Angeles Rams,-4.5,25.0,20.5
Atlanta Falcons,New Orleans Saints,,Atlanta Falcons,-4.5,,
Pittsburgh Steelers,Baltimore Ravens,,Baltimore Ravens,-4.5,,
Buffalo Bills,New York Jets,,Buffalo Bills,-9.5,,
Tampa Bay Buccaneers,Carolina Panthers,46.5,Tampa Bay Buccaneers,-7.0,26.8,19.8
Chicago Bears,Detroit Lions,,Detroit Lions,-1.5,,
Cincinnati Bengals,Cleveland Browns,43.5,Cincinnati Bengals,-8.5,26.0,17.5
Minnesota Vikings,Green Bay Packers,44.5,Green Bay Packers,-1.5,21.5,23.0
Houston Texans,Indianapolis Colts,,Houston Texans,-4.5,,
Jacksonville Jaguars,Tennessee Titans,43.5,Jacksonville Jaguars,-4.5,24.0,19.5
Las Vegas Raiders,Kansas City Chiefs,,Kansas City Chiefs,-6.0,,
New England Patriots,Miami Dolphins,,New England Patriots,-2.5,,
San Francisco 49ers,Seattle Seahawks,44.5,San Francisco 49ers,-4.5,24.5,20.0
Denver Broncos,Los Angeles Chargers,42.5,Denver Broncos,-2.5,22.5,20.0
