"PLAYER NAME","OPP","KICKOFF","WX","SPREAD","O/U","PRED SCORE","PROJ RANK","$ RANK","RANK DIFF","PROJ PTS","SALARY","CPP","PROJ ROSTER %"
"New England Patriots (NE - DST)","LV","Sun 1:00PM","","NE -2.5","43.5","23","10","10","0","6.7","$3,900","$578","5-10%-"
"Braelon Allen (NYJ - RB)","PIT","Sun 1:00PM","","PIT -3","38","17.5","33","34","1","6.7","$5,100","$759","0%"
"Kansas City Chiefs (KC - DST)","@LAC","Fri 8:00PM","","KC -3","46.5","25","0","0","0","6.7","$4,500","$670","1-5%-"
"Dalton Kincaid (BUF - TE)","BAL","Sun 8:20PM","","BAL -1","50.5","25","0","0","0","6.6","$5,000","$756","0%-"
"Zach Ertz (WAS - TE)","NYG","Sun 1:00PM","","WAS -6","45.5","26","11","10","-1","6.5","$5,100","$783","0%-"
"Chicago Bears (CHI - DST)","MIN","Mon 8:15PM","","MIN -1.5","44","21.5","0","0","0","6.5","$3,900","$599","0%-"
"Colston Loveland (CHI - TE)","MIN","Mon 8:15PM","","MIN -1.5","44","21.5","0","0","0","6.5","$4,600","$708","0%-"
"Brenton Strange (JAC - TE)","CAR","Sun 1:00PM","","JAC -3.5","47","25.5","12","17","5","6.4","$5,000","$778","0%-"
"Seattle Seahawks (SEA - DST)","SF","Sun 4:05PM","","SF -2","43.5","21","11","15","4","6.3","$3,500","$559","0%-"
"Jayden Higgins (HOU - WR)","@LAR","Sun 4:25PM","","LAR -3","43.5","20.5","45","248","203","6.2","$4,000","$648","0%-"
"Detroit Lions (DET - DST)","@GB","Sun 4:25PM","","GB -2","47","22.5","12","9","-3","6.1","$4,000","$654","0%-"
"Jonnu Smith (PIT - TE)","@NYJ","Sun 1:00PM","","PIT -3","38","20.5","13","6","-7","6.1","$5,400","$881","0%-"
"Darius Slayton (NYG - WR)","@WAS","Sun 1:00PM","","WAS -6","45.5","20","46","73","27","6.1","$4,700","$766","0%-"
"Trey Benson (ARI - RB)","@NO","Sun 1:00PM","","ARI -6.5","43.5","25","34","83","49","6.1","$4,100","$669","0%"
"Green Bay Packers (GB - DST)","DET","Sun 4:25PM","","GB -2","47","24.5","13","14","1","6.0","$3,500","$588","0%-"
"Miami Dolphins (MIA - DST)","@IND","Sun 1:00PM","","IND -1.5","46.5","22.5","14","6","-8","6.0","$4,300","$717","0%-"
"Tampa Bay Buccaneers (TB - DST)","@ATL","Sun 1:00PM","","TB -1.5","47.5","24.5","15","8","-7","6.0","$4,100","$682","1-5%-"
"Alec Pierce (IND - WR)","MIA","Sun 1:00PM","","IND -1.5","46.5","24","47","46","-1","6.0","$5,100","$857","0%-"
"Indianapolis Colts (IND - DST)","MIA","Sun 1:00PM","","IND -1.5","46.5","24","16","18","2","5.9","$3,300","$555","0%-"
"Jacksonville Jaguars (JAC - DST)","CAR","Sun 1:00PM","","JAC -3.5","47","25.5","17","17","0","5.9","$3,400","$573","0%-"
"Los Angeles Chargers (LAC - DST)","KC","Fri 8:00PM","","KC -3","46.5","22","0","0","0","5.9","$3,700","$626","1-5%-"
"Las Vegas Raiders (LV - DST)","@NE","Sun 1:00PM","","NE -2.5","43.5","20.5","18","19","1","5.8","$3,200","$550","10-20%-"
"Chig Okonkwo (TEN - TE)","@DEN","Sun 4:05PM","","DEN -8.5","42.5","17","14","20","6","5.8","$4,900","$849","0%-"
"DeAndre Hopkins (BAL - WR)","@BUF","Sun 8:20PM","","BAL -1","50.5","26","0","0","0","5.8","$5,000","$856","0%-"
"Cade Otton (TB - TE)","@ATL","Sun 1:00PM","","TB -1.5","47.5","24.5","15","16","1","5.7","$5,000","$877","1-5%-"
"Baltimore Ravens (BAL - DST)","@BUF","Sun 8:20PM","","BAL -1","50.5","26","0","0","0","5.7","$4,000","$700","0%-"
"Buffalo Bills (BUF - DST)","BAL","Sun 8:20PM","","BAL -1","50.5","25","0","0","0","5.7","$3,800","$672","0%-"
"Tyler Lockett (TEN - WR)","@DEN","Sun 4:05PM","","DEN -8.5","42.5","17","48","47","-1","5.6","$5,000","$899","0%-"
"Dalton Schultz (HOU - TE)","@LAR","Sun 4:25PM","","LAR -3","43.5","20.5","16","19","3","5.6","$4,900","$878","0%-"
"Ja'Tavion Sanders (CAR - TE)","@JAC","Sun 1:00PM","","JAC -3.5","47","22","17","30","13","5.6","$4,500","$804","0%-"
"Michael Wilson (ARI - WR)","@NO","Sun 1:00PM","","ARI -6.5","43.5","25","49","50","1","5.6","$5,000","$889","0%-"
"Ollie Gordon II (MIA - RB)","@IND","Sun 1:00PM","","IND -1.5","46.5","22.5","35","66","31","5.6","$4,300","$765","0%"
"Quentin Johnston (LAC - WR)","KC","Fri 8:00PM","","KC -3","46.5","22","0","0","0","5.6","$5,700","$1021","1-5%-"
"Luther Burden III (CHI - WR)","MIN","Mon 8:15PM","","MIN -1.5","44","21.5","0","0","0","5.6","$4,700","$843","0%-"
"Mike Gesicki (CIN - TE)","@CLE","Sun 1:00PM","","CIN -5.5","47.5","26.5","18","18","0","5.5","$4,900","$886","1-5%-"
"Dyami Brown (JAC - WR)","CAR","Sun 1:00PM","","JAC -3.5","47","25.5","50","66","16","5.5","$4,800","$874","0%-"
"Pat Freiermuth (PIT - TE)","@NYJ","Sun 1:00PM","","PIT -3","38","20.5","19","15","-4","5.5","$5,000","$901","0%-"
"Mason Taylor (NYJ - TE)","PIT","Sun 1:00PM","","PIT -3","38","17.5","20","22","2","5.5","$4,800","$872","0%-"
"New York Giants (NYG - DST)","@WAS","Sun 1:00PM","","WAS -6","45.5","20","19","24","5","5.4","$3,000","$555","0%-"
"Juwan Johnson (NO - TE)","ARI","Sun 1:00PM","","ARI -6.5","43.5","18.5","21","24","3","5.4","$4,700","$877","0%-"
"Cleveland Browns (CLE - DST)","CIN","Sun 1:00PM","","CIN -5.5","47.5","21","20","23","3","5.3","$3,000","$567","10-20%-"
"Elijah Arroyo (SEA - TE)","SF","Sun 4:05PM","","SF -2","43.5","21","22","28","6","5.3","$4,500","$849","0%-"
"Theo Johnson (NYG - TE)","@WAS","Sun 1:00PM","","WAS -6","45.5","20","23","26","3","5.3","$4,600","$864","0%-"
"Atlanta Falcons (ATL - DST)","TB","Sun 1:00PM","","TB -1.5","47.5","23","21","16","-5","5.2","$3,400","$656","5-10%-"
"New Orleans Saints (NO - DST)","ARI","Sun 1:00PM","","ARI -6.5","43.5","18.5","22","22","0","5.2","$3,100","$598","0%-"
"Rico Dowdle (CAR - RB)","@JAC","Sun 1:00PM","","JAC -3.5","47","22","36","30","-6","5.2","$5,300","$1013","0%"
"Tyler Allgeier (ATL - RB)","TB","Sun 1:00PM","","TB -1.5","47.5","23","37","36","-1","5.2","$5,000","$970","1-5%"
"Calvin Austin III (PIT - WR)","@NYJ","Sun 1:00PM","","PIT -3","38","20.5","51","45","-6","5.1","$5,100","$992","0%-"
"Harold Fannin Jr. (CLE - TE)","CIN","Sun 1:00PM","","CIN -5.5","47.5","21","24","25","1","5.0","$4,700","$941","1-5%-"
"Cole Kmet (CHI - TE)","MIN","Mon 8:15PM","","MIN -1.5","44","21.5","0","0","0","5.0","$4,900","$977","0%-"
"Ray Davis (BUF - RB)","BAL","Sun 8:20PM","","BAL -1","50.5","25","0","0","0","5.0","$4,800","$952","0%-"
"Ray-Ray McCloud III (ATL - WR)","TB","Sun 1:00PM","","TB -1.5","47.5","23","52","72","20","4.9","$4,700","$964","1-5%-"
"Dontayvion Wicks (GB - WR) Q","DET","Sun 4:25PM","","GB -2","47","24.5","53","55","2","4.9","$4,900","$1005","0%-"
"Andrei Iosivas (CIN - WR)","@CLE","Sun 1:00PM","","CIN -5.5","47.5","26.5","54","56","2","4.9","$4,900","$1000","1-5%-"
"Carolina Panthers (CAR - DST)","@JAC","Sun 1:00PM","","JAC -3.5","47","22","23","21","-2","4.8","$3,100","$650","0%-"
"Brian Robinson Jr. (SF - RB)","@SEA","Sun 4:05PM","","SF -2","43.5","23","38","17","-21","4.8","$6,300","$1324","0%"
"Elic Ayomanor (TEN - WR)","@DEN","Sun 4:05PM","","DEN -8.5","42.5","17","55","246","191","4.8","$4,000","$835","0%-"
"Kareem Hunt (KC - RB)","@LAC","Fri 8:00PM","","KC -3","46.5","25","0","0","0","4.8","$5,700","$1199","1-5%-"
"Najee Harris (LAC - RB)","KC","Fri 8:00PM","","KC -3","46.5","22","0","0","0","4.8","$5,900","$1240","1-5%-"
"Tennessee Titans (TEN - DST)","@DEN","Sun 4:05PM","","DEN -8.5","42.5","17","24","20","-4","4.7","$3,200","$678","0%-"
"Christian Kirk (HOU - WR) Q","@LAR","Sun 4:25PM","","LAR -3","43.5","20.5","56","39","-17","4.7","$5,200","$1095","0%-"
"Dallas Cowboys (DAL - DST)","@PHI","Thu 8:20PM","","PHI -7","46.5","20","0","0","0","4.7","$5,400","$1138","1-5%-"
"Justice Hill (BAL - RB)","@BUF","Sun 8:20PM","","BAL -1","50.5","26","0","0","0","4.7","$4,700","$1010","0%-"
"Bhayshul Tuten (JAC - RB)","CAR","Sun 1:00PM","","JAC -3.5","47","25.5","39","53","14","4.6","$4,600","$994","0%"
"Woody Marks (HOU - RB)","@LAR","Sun 4:25PM","","LAR -3","43.5","20.5","40","140","100","4.6","$4,000","$869","0%"
"Miles Sanders (DAL - RB)","@PHI","Thu 8:20PM","","PHI -7","46.5","20","0","0","0","4.6","$4,000","$868","1-5%-"
"Adonai Mitchell (IND - WR)","MIA","Sun 1:00PM","","IND -1.5","46.5","24","57","75","18","4.5","$4,700","$1053","0%-"
"Tre' Harris (LAC - WR)","KC","Fri 8:00PM","","KC -3","46.5","22","0","0","0","4.5","$4,900","$1089","1-5%-"
"Tyler Higbee (LAR - TE)","HOU","Sun 4:25PM","","LAR -3","43.5","23.5","25","13","-12","4.4","$5,000","$1148","0%-"
"Tutu Atwell (LAR - WR)","HOU","Sun 4:25PM","","LAR -3","43.5","23.5","58","67","9","4.4","$4,800","$1087","0%-"
"Isaac TeSlaa (DET - WR) Q","@GB","Sun 4:25PM","","GB -2","47","22.5","59","104","45","4.4","$4,300","$978","0%-"
"Dameon Pierce (HOU - RB)","@LAR","Sun 4:25PM","","LAR -3","43.5","20.5","41","57","16","4.3","$4,500","$1047","0%"
"Malik Washington (MIA - WR)","@IND","Sun 1:00PM","","IND -1.5","46.5","22.5","60","95","35","4.3","$4,400","$1026","0%-"
"Kyle Williams (NE - WR)","LV","Sun 1:00PM","","NE -2.5","43.5","23","61","267","206","4.3","$4,000","$920","1-5%-"
"Brandin Cooks (NO - WR)","ARI","Sun 1:00PM","","ARI -6.5","43.5","18.5","62","58","-4","4.2","$4,800","$1133","0%-"
"Kayshon Boutte (NE - WR)","LV","Sun 1:00PM","","NE -2.5","43.5","23","63","74","11","4.2","$4,700","$1118","1-5%-"
"Tre Tucker (LV - WR)","@NE","Sun 1:00PM","","NE -2.5","43.5","20.5","64","51","-13","4.2","$5,000","$1178","1-5%-"
"Roman Wilson (PIT - WR)","@NYJ","Sun 1:00PM","","PIT -3","38","20.5","65","224","159","4.1","$4,000","$977","0%-"
"KaVontae Turpin (DAL - WR)","@PHI","Thu 8:20PM","","PHI -7","46.5","20","0","0","0","4.1","$2,800","$688","1-5%-"
"Roschon Johnson (CHI - RB) Q","MIN","Mon 8:15PM","","MIN -1.5","44","21.5","0","0","0","4.1","$4,800","$1180","0%-"
"Noah Fant (CIN - TE)","@CLE","Sun 1:00PM","","CIN -5.5","47.5","26.5","26","21","-5","4.0","$4,800","$1197","1-5%-"
"Pat Bryant (DEN - WR)","TEN","Sun 4:05PM","","DEN -8.5","42.5","25.5","66","253","187","4.0","$4,000","$1006","0%-"
"Isaiah Likely (BAL - TE) Q","@BUF","Sun 8:20PM","","BAL -1","50.5","26","0","0","0","4.0","$4,800","$1203","0%-"
"Jalen Nailor (MIN - WR)","@CHI","Mon 8:15PM","","MIN -1.5","44","23","0","0","0","4.0","$4,600","$1160","0%-"
"Darren Waller (MIA - TE) Q","@IND","Sun 1:00PM","","IND -1.5","46.5","22.5","27","23","-4","3.9","$4,700","$1217","0%-"
